cc,desciel,dh,dirvienc,dirvieng,dloc,ides,idmun,lat,lon,ndia,nes,nmun,prec,probprec,raf,tmax,tmin,velvien
78.96,Despejado,6,Norte,0.0,2024-11-26,20,54,17.3884,-97.229,0,Oaxaca,Magdalena Zahuatlán,0.0,0,15.6,19.1,4.7,9.9
86.18,Despejado,6,Oeste,270.0,2024-11-27,20,54,17.3884,-97.229,1,Oaxaca,Magdalena Zahuatlán,0.0,0,7.2,23.1,4.6,4.5
78.79,Despejado,6,Norte,0.0,2024-11-28,20,54,17.3884,-97.229,2,Oaxaca,Magdalena Zahuatlán,0.0,0,10.5,24.7,7.7,4.9
77.47,Despejado,6,Norte,0.0,2024-11-29,20,54,17.3884,-97.229,3,Oaxaca,Magdalena Zahuatlán,0.0,0,13.0,20.9,6.6,9.0
76.97,Despejado,6,Noreste,45.0,2024-11-26,20,61,16.3672,-96.6368,0,Oaxaca,Monjas,0.0,0,17.0,23.4,8.0,8.7
87.48,Despejado,6,Norte,0.0,2024-11-27,20,61,16.3672,-96.6368,1,Oaxaca,Monjas,0.0,0,11.9,25.3,7.8,3.0
95.19,Despejado,6,Noreste,45.0,2024-11-28,20,61,16.3672,-96.6368,2,Oaxaca,Monjas,0.0,0,8.6,26.7,10.9,4.4
74.65,Despejado,6,Noreste,45.0,2024-11-29,20,61,16.3672,-96.6368,3,Oaxaca,Monjas,0.0,0,14.1,25.3,10.0,7.6
72.91,Despejado,6,Noreste,45.0,2024-11-26,20,62,17.2969,-96.4333,0,Oaxaca,Natividad,0.0,0,13.4,19.1,5.0,5.4
89.11,Despejado,6,Suroeste,225.0,2024-11-27,20,62,17.2969,-96.4333,1,Oaxaca,Natividad,0.0,0,6.5,23.6,5.6,4.9
92.97,Despejado,6,Noreste,45.0,2024-11-28,20,62,17.2969,-96.4333,2,Oaxaca,Natividad,0.0,0,11.5,26.3,7.8,2.9
82.24,Despejado,6,Noreste,45.0,2024-11-29,20,62,17.2969,-96.4333,3,Oaxaca,Natividad,0.0,0,11.2,20.3,7.0,5.2
81.98,Despejado,6,Norte,0.0,2024-11-26,20,63,17.178,-96.824,0,Oaxaca,Nazareno Etla,0.0,0,13.4,22.2,5.1,8.1
88.17,Despejado,6,Noreste,45.0,2024-11-27,20,63,17.178,-96.824,1,Oaxaca,Nazareno Etla,0.0,0,8.7,24.3,5.2,2.0
92.6,Despejado,6,Noreste,45.0,2024-11-28,20,63,17.178,-96.824,2,Oaxaca,Nazareno Etla,0.0,0,10.1,25.9,8.3,3.7
61.27,Despejado,6,Norte,0.0,2024-11-29,20,63,17.178,-96.824,3,Oaxaca,Nazareno Etla,0.0,0,11.9,23.8,7.2,6.8
81.98,Despejado,6,Norte,0.0,2024-11-26,20,77,17.2056,-96.8101,0,Oaxaca,Reyes Etla,0.0,0,13.4,22.1,5.0,8.3
88.17,Despejado,6,Este,90.0,2024-11-27,20,77,17.2056,-96.8101,1,Oaxaca,Reyes Etla,0.0,0,8.7,24.2,5.1,2.7
92.6,Despejado,6,Noreste,45.0,2024-11-28,20,77,17.2056,-96.8101,2,Oaxaca,Reyes Etla,0.0,0,10.1,25.9,8.2,4.2
61.27,Despejado,6,Norte,0.0,2024-11-29,20,77,17.2056,-96.8101,3,Oaxaca,Reyes Etla,0.0,0,11.9,23.7,7.1,7.1
75.55,Despejado,6,Norte,0.0,2024-11-26,20,87,17.0812,-96.6681,0,Oaxaca,San Agustín Yatareni,0.0,0,12.7,23.1,5.9,7.2
86.18,Despejado,6,Noroeste,315.0,2024-11-27,20,87,17.0812,-96.6681,1,Oaxaca,San Agustín Yatareni,0.0,0,10.1,24.1,5.9,3.5
93.53,Despejado,6,Norte,0.0,2024-11-28,20,87,17.0812,-96.6681,2,Oaxaca,San Agustín Yatareni,0.0,0,8.7,25.9,8.8,4.9
62.21,Despejado,6,Norte,0.0,2024-11-29,20,87,17.0812,-96.6681,3,Oaxaca,San Agustín Yatareni,0.0,0,10.9,24.3,8.0,5.8
75.55,Despejado,6,Norte,0.0,2024-11-26,20,91,17.1025,-96.6662,0,Oaxaca,San Andrés Huayápam,0.0,0,12.7,22.8,5.8,7.3
86.18,Despejado,6,Norte,0.0,2024-11-27,20,91,17.1025,-96.6662,1,Oaxaca,San Andrés Huayápam,0.0,0,10.1,24.1,5.8,3.1
93.53,Despejado,6,Norte,0.0,2024-11-28,20,91,17.1025,-96.6662,2,Oaxaca,San Andrés Huayápam,0.0,0,8.7,25.8,8.8,4.7
62.21,Despejado,6,Norte,0.0,2024-11-29,20,91,17.1025,-96.6662,3,Oaxaca,San Andrés Huayápam,0.0,0,10.9,24.1,7.8,5.8
72.44,Despejado,6,Sureste,135.0,2024-11-26,20,99,17.6658,-98.3917,0,Oaxaca,San Andrés Tepetlapa,0.0,0,9.5,26.9,9.9,4.9
78.07,Despejado,6,Sur,180.0,2024-11-27,20,99,17.6658,-98.3917,1,Oaxaca,San Andrés Tepetlapa,0.0,0,5.8,27.2,9.5,4.6
83.75,Despejado,6,Sur,180.0,2024-11-28,20,99,17.6658,-98.3917,2,Oaxaca,San Andrés Tepetlapa,0.0,0,5.8,28.4,11.2,4.4
73.72,Despejado,6,Sureste,135.0,2024-11-29,20,99,17.6658,-98.3917,3,Oaxaca,San Andrés Tepetlapa,0.0,0,6.1,28.8,12.2,4.2
78.41,Despejado,6,Norte,0.0,2024-11-26,20,103,16.8032,-96.6846,0,Oaxaca,San Antonino Castillo Velasco,0.0,0,12.4,24.5,7.1,7.4
86.55,Despejado,6,Noroeste,315.0,2024-11-27,20,103,16.8032,-96.6846,1,Oaxaca,San Antonino Castillo Velasco,0.0,0,8.3,25.1,6.9,4.7
88.99,Despejado,6,Noroeste,315.0,2024-11-28,20,103,16.8032,-96.6846,2,Oaxaca,San Antonino Castillo Velasco,0.0,0,8.7,26.9,9.8,4.6
55.56,Despejado,6,Norte,0.0,2024-11-29,20,103,16.8032,-96.6846,3,Oaxaca,San Antonino Castillo Velasco,0.0,0,10.2,25.5,9.4,6.7
77.63,Despejado,6,Norte,0.0,2024-11-26,20,107,17.0313,-96.6993,0,Oaxaca,San Antonio de la Cal,0.0,0,12.7,24.0,6.1,7.3
84.72,Despejado,6,Noroeste,315.0,2024-11-27,20,107,17.0313,-96.6993,1,Oaxaca,San Antonio de la Cal,0.0,0,10.1,24.3,6.1,4.7
93.19,Despejado,6,Norte,0.0,2024-11-28,20,107,17.0313,-96.6993,2,Oaxaca,San Antonio de la Cal,0.0,0,8.7,26.2,8.9,5.4
56.88,Despejado,6,Norte,0.0,2024-11-29,20,107,17.0313,-96.6993,3,Oaxaca,San Antonio de la Cal,0.0,0,10.9,25.0,8.3,6.1
81.4,Despejado,6,Noreste,45.0,2024-11-26,20,127,17.2845,-97.5699,0,Oaxaca,San Cristóbal Amoltepec,0.0,0,9.0,21.2,5.5,7.3
86.41,Despejado,6,Noroeste,315.0,2024-11-27,20,127,17.2845,-97.5699,1,Oaxaca,San Cristóbal Amoltepec,0.0,0,9.7,22.8,5.5,3.9
92.13,Despejado,6,Norte,0.0,2024-11-28,20,127,17.2845,-97.5699,2,Oaxaca,San Cristóbal Amoltepec,0.0,0,12.6,24.2,8.0,4.3
78.94,Despejado,6,Noreste,45.0,2024-11-29,20,127,17.2845,-97.5699,3,Oaxaca,San Cristóbal Amoltepec,0.0,0,8.7,22.7,7.7,5.9
69.46,Despejado,6,Suroeste,225.0,2024-11-26,20,128,17.336,-96.165,0,Oaxaca,San Cristóbal Lachirioag,0.0,0,11.2,21.4,7.4,7.1
89.51,Despejado,6,Suroeste,225.0,2024-11-27,20,128,17.336,-96.165,1,Oaxaca,San Cristóbal Lachirioag,0.0,0,7.6,24.2,7.5,7.6
90.29,Despejado,6,Suroeste,225.0,2024-11-28,20,128,17.336,-96.165,2,Oaxaca,San Cristóbal Lachirioag,0.0,0,7.3,28.0,10.1,6.5
79.88,Despejado,6,Norte,0.0,2024-11-29,20,128,17.336,-96.165,3,Oaxaca,San Cristóbal Lachirioag,0.0,0,10.9,22.3,9.7,5.6
72.27,Despejado,6,Norte,0.0,2024-11-26,20,145,17.0114,-96.5985,0,Oaxaca,San Francisco Lachigoló,0.0,0,12.3,23.5,6.4,7.2
86.32,Despejado,6,Noroeste,315.0,2024-11-27,20,145,17.0114,-96.5985,1,Oaxaca,San Francisco Lachigoló,0.0,0,7.6,23.9,6.3,5.1
93.01,Despejado,6,Norte,0.0,2024-11-28,20,145,17.0114,-96.5985,2,Oaxaca,San Francisco Lachigoló,0.0,0,8.3,25.6,9.1,6.2
60.0,Despejado,6,Norte,0.0,2024-11-29,20,145,17.0114,-96.5985,3,Oaxaca,San Francisco Lachigoló,0.0,0,12.3,24.7,8.5,6.6
70.24,Despejado,6,Noreste,45.0,2024-11-26,20,146,16.3523,-96.37799999999999,0,Oaxaca,San Francisco Logueche,0.0,0,14.0,22.1,8.3,5.8
83.26,Despejado,6,Noroeste,315.0,2024-11-27,20,146,16.3523,-96.37799999999999,1,Oaxaca,San Francisco Logueche,0.0,0,6.9,24.2,8.2,2.9
94.76,Despejado,6,Este,90.0,2024-11-28,20,146,16.3523,-96.37799999999999,2,Oaxaca,San Francisco Logueche,0.0,0,8.3,26.0,11.0,4.0
67.7,Despejado,6,Noreste,45.0,2024-11-29,20,146,16.3523,-96.37799999999999,3,Oaxaca,San Francisco Logueche,0.0,0,11.6,23.8,9.7,6.1
80.19,Despejado,6,Norte,0.0,2024-11-26,20,157,17.1008,-96.7626,0,Oaxaca,San Jacinto Amilpas,0.0,0,12.7,23.5,5.7,7.6
85.51,Despejado,6,Norte,0.0,2024-11-27,20,157,17.1008,-96.7626,1,Oaxaca,San Jacinto Amilpas,0.0,0,10.1,24.4,5.7,3.0
93.08,Despejado,6,Norte,0.0,2024-11-28,20,157,17.1008,-96.7626,2,Oaxaca,San Jacinto Amilpas,0.0,0,8.7,26.2,8.7,4.3
57.03,Despejado,6,Norte,0.0,2024-11-29,20,157,17.1008,-96.7626,3,Oaxaca,San Jacinto Amilpas,0.0,0,10.9,24.7,7.8,5.7
77.71,Despejado,6,Noroeste,315.0,2024-11-26,20,174,16.9889,-96.7132,0,Oaxaca,Ánimas Trujano,0.0,0,12.7,24.5,6.2,7.4
84.81,Despejado,6,Noroeste,315.0,2024-11-27,20,174,16.9889,-96.7132,1,Oaxaca,Ánimas Trujano,0.0,0,10.1,24.5,6.2,5.4
92.48,Despejado,6,Noroeste,315.0,2024-11-28,20,174,16.9889,-96.7132,2,Oaxaca,Ánimas Trujano,0.0,0,8.7,26.4,9.1,5.9
56.16,Despejado,6,Norte,0.0,2024-11-29,20,174,16.9889,-96.7132,3,Oaxaca,Ánimas Trujano,0.0,0,10.9,25.4,8.6,6.6
75.25,Despejado,6,Norte,0.0,2024-11-26,20,192,16.8285,-96.67200000000001,0,Oaxaca,San Juan Chilateca,0.0,0,12.4,24.4,7.0,7.3
87.82,Despejado,6,Noroeste,315.0,2024-11-27,20,192,16.8285,-96.67200000000001,1,Oaxaca,San Juan Chilateca,0.0,0,8.3,25.0,6.9,4.6
90.31,Despejado,6,Norte,0.0,2024-11-28,20,192,16.8285,-96.67200000000001,2,Oaxaca,San Juan Chilateca,0.0,0,8.7,26.8,9.8,4.6
55.53,Despejado,6,Norte,0.0,2024-11-29,20,192,16.8285,-96.67200000000001,3,Oaxaca,San Juan Chilateca,0.0,0,10.2,25.4,9.3,6.6
68.9,Despejado,6,Norte,0.0,2024-11-26,20,216,17.305,-96.20700000000001,0,Oaxaca,San Juan Tabaá,0.0,0,11.2,20.6,6.6,7.0
88.88,Despejado,6,Suroeste,225.0,2024-11-27,20,216,17.305,-96.20700000000001,1,Oaxaca,San Juan Tabaá,0.0,0,7.6,23.9,6.8,7.6
91.36,Despejado,6,Suroeste,225.0,2024-11-28,20,216,17.305,-96.20700000000001,2,Oaxaca,San Juan Tabaá,0.0,0,7.3,27.8,9.3,6.3
83.56,Despejado,6,Norte,0.0,2024-11-29,20,216,17.305,-96.20700000000001,3,Oaxaca,San Juan Tabaá,0.0,0,10.9,21.6,8.9,5.7
59.2,Despejado,6,Noreste,45.0,2024-11-26,20,228,18.2065,-96.9131,0,Oaxaca,San Lorenzo Cuaunecuiltitla,0.0,0,13.7,22.2,8.3,4.3
84.4,Despejado,6,Oeste,270.0,2024-11-27,20,228,18.2065,-96.9131,1,Oaxaca,San Lorenzo Cuaunecuiltitla,0.0,0,8.3,24.9,8.3,3.6
85.96,Despejado,6,Norte,0.0,2024-11-28,20,228,18.2065,-96.9131,2,Oaxaca,San Lorenzo Cuaunecuiltitla,0.0,0,11.2,27.7,11.2,3.3
70.55,Despejado,6,Este,90.0,2024-11-29,20,228,18.2065,-96.9131,3,Oaxaca,San Lorenzo Cuaunecuiltitla,0.0,0,13.0,23.5,10.9,4.5
81.29,Despejado,6,Norte,0.0,2024-11-26,20,238,16.6565,-96.729,0,Oaxaca,San Martín de los Cansecos,0.0,0,12.4,24.5,7.3,7.6
82.77,Despejado,6,Noroeste,315.0,2024-11-27,20,238,16.6565,-96.729,1,Oaxaca,San Martín de los Cansecos,0.0,0,8.3,25.5,7.0,4.7
91.65,Despejado,6,Noroeste,315.0,2024-11-28,20,238,16.6565,-96.729,2,Oaxaca,San Martín de los Cansecos,0.0,0,8.7,27.2,9.8,4.6
63.73,Despejado,6,Norte,0.0,2024-11-29,20,238,16.6565,-96.729,3,Oaxaca,San Martín de los Cansecos,0.0,0,10.2,25.8,9.7,6.9
85.57,Despejado,6,Norte,0.0,2024-11-26,20,241,16.6109,-96.8494,0,Oaxaca,San Martín Lachilá,0.0,0,11.5,24.1,7.4,7.5
82.98,Despejado,6,Noroeste,315.0,2024-11-27,20,241,16.6109,-96.8494,1,Oaxaca,San Martín Lachilá,0.0,0,8.6,25.3,7.2,4.4
93.19,Despejado,6,Norte,0.0,2024-11-28,20,241,16.6109,-96.8494,2,Oaxaca,San Martín Lachilá,0.0,0,9.4,26.8,10.0,4.6
70.45,Despejado,6,Norte,0.0,2024-11-29,20,241,16.6109,-96.8494,3,Oaxaca,San Martín Lachilá,0.0,0,11.6,25.6,9.6,6.5
58.41,Despejado,6,Noreste,45.0,2024-11-26,20,249,18.1437,-96.8684,0,Oaxaca,San Mateo Yoloxochitlán,0.0,0,12.7,22.8,8.3,4.1
85.07,Despejado,6,Suroeste,225.0,2024-11-27,20,249,18.1437,-96.8684,1,Oaxaca,San Mateo Yoloxochitlán,0.0,0,13.0,25.0,8.2,4.0
86.55,Despejado,6,Norte,0.0,2024-11-28,20,249,18.1437,-96.8684,2,Oaxaca,San Mateo Yoloxochitlán,0.0,0,12.2,27.8,11.0,2.3
74.96,Despejado,6,Este,90.0,2024-11-29,20,249,18.1437,-96.8684,3,Oaxaca,San Mateo Yoloxochitlán,0.0,0,9.4,23.8,11.3,4.2
78.96,Despejado,6,Norte,0.0,2024-11-26,20,250,17.4148,-97.2717,0,Oaxaca,San Mateo Etlatongo,0.0,0,15.6,18.9,4.8,9.7
86.18,Despejado,6,Oeste,270.0,2024-11-27,20,250,17.4148,-97.2717,1,Oaxaca,San Mateo Etlatongo,0.0,0,7.2,23.0,4.6,4.8
78.79,Despejado,6,Norte,0.0,2024-11-28,20,250,17.4148,-97.2717,2,Oaxaca,San Mateo Etlatongo,0.0,0,10.5,24.6,7.7,5.1
77.47,Despejado,6,Noreste,45.0,2024-11-29,20,250,17.4148,-97.2717,3,Oaxaca,San Mateo Etlatongo,0.0,0,13.0,20.8,6.5,8.7
74.91,Despejado,6,Noreste,45.0,2024-11-26,20,267,17.3217,-96.5692,0,Oaxaca,San Miguel del Río,0.0,0,13.4,19.5,4.8,6.2
89.59,Despejado,6,Norte,0.0,2024-11-27,20,267,17.3217,-96.5692,1,Oaxaca,San Miguel del Río,0.0,0,6.5,23.7,5.4,3.2
93.97,Despejado,6,Noreste,45.0,2024-11-28,20,267,17.3217,-96.5692,2,Oaxaca,San Miguel del Río,0.0,0,11.5,25.9,7.7,3.1
