id_clima,id_municipio,fecha,cielo,t_max,t_min,prob_prec,velocidad_viento,direccion_viento
1,1704,2024-11-26,Despejado,19.10,4.70,0.00,9.90,Norte
2,1704,2024-11-27,Despejado,23.10,4.60,0.00,4.50,Oeste
3,1704,2024-11-28,Despejado,24.70,7.70,0.00,4.90,Norte
4,1704,2024-11-29,Despejado,20.90,6.60,0.00,9.00,Norte
5,431,2024-11-26,Despejado,23.40,8.00,0.00,8.70,Noreste
6,431,2024-11-27,Despejado,25.30,7.80,0.00,3.00,Norte
7,431,2024-11-28,Despejado,26.70,10.90,0.00,4.40,Noreste
8,431,2024-11-29,Despejado,25.30,10.00,0.00,7.60,Noreste
9,499,2024-11-26,Despejado,19.10,5.00,0.00,5.40,Noreste
10,499,2024-11-27,Despejado,23.60,5.60,0.00,4.90,Suroeste
11,499,2024-11-28,Despejado,26.30,7.80,0.00,2.90,Noreste
12,499,2024-11-29,Despejado,20.30,7.00,0.00,5.20,Noreste
13,439,2024-11-26,Despejado,22.20,5.10,0.00,8.10,Norte
14,439,2024-11-27,Despejado,24.30,5.20,0.00,2.00,Noreste
15,439,2024-11-28,Despejado,25.90,8.30,0.00,3.70,Noreste
16,439,2024-11-29,Despejado,23.80,7.20,0.00,6.80,Norte
17,1363,2024-11-26,Despejado,22.10,5.00,0.00,8.30,Norte
18,1363,2024-11-27,Despejado,24.20,5.10,0.00,2.70,Este
19,1363,2024-11-28,Despejado,25.90,8.20,0.00,4.20,Noreste
20,1363,2024-11-29,Despejado,23.70,7.10,0.00,7.10,Norte
21,1247,2024-11-26,Despejado,23.10,5.90,0.00,7.20,Norte
22,1247,2024-11-27,Despejado,24.10,5.90,0.00,3.50,Noroeste
23,1247,2024-11-28,Despejado,25.90,8.80,0.00,4.90,Norte
24,1247,2024-11-29,Despejado,24.30,8.00,0.00,5.80,Norte
25,219,2024-11-26,Despejado,22.80,5.80,0.00,7.30,Norte
26,219,2024-11-27,Despejado,24.10,5.80,0.00,3.10,Norte
27,219,2024-11-28,Despejado,25.80,8.80,0.00,4.70,Norte
28,219,2024-11-29,Despejado,24.10,7.80,0.00,5.80,Norte
29,327,2024-11-26,Despejado,26.90,9.90,0.00,4.90,Sureste
30,327,2024-11-27,Despejado,27.20,9.50,0.00,4.60,Sur
31,327,2024-11-28,Despejado,28.40,11.20,0.00,4.40,Sur
32,327,2024-11-29,Despejado,28.80,12.20,0.00,4.20,Sureste
33,1265,2024-11-26,Despejado,24.50,7.10,0.00,7.40,Norte
34,1265,2024-11-27,Despejado,25.10,6.90,0.00,4.70,Noroeste
35,1265,2024-11-28,Despejado,26.90,9.80,0.00,4.60,Noroeste
36,1265,2024-11-29,Despejado,25.50,9.40,0.00,6.70,Norte
37,1057,2024-11-26,Despejado,24.00,6.10,0.00,7.30,Norte
38,1057,2024-11-27,Despejado,24.30,6.10,0.00,4.70,Noroeste
39,1057,2024-11-28,Despejado,26.20,8.90,0.00,5.40,Norte
40,1057,2024-11-29,Despejado,25.00,8.30,0.00,6.10,Norte
41,668,2024-11-26,Despejado,21.20,5.50,0.00,7.30,Noreste
42,668,2024-11-27,Despejado,22.80,5.50,0.00,3.90,Noroeste
43,668,2024-11-28,Despejado,24.20,8.00,0.00,4.30,Norte
44,668,2024-11-29,Despejado,22.70,7.70,0.00,5.90,Noreste
45,1172,2024-11-26,Despejado,21.40,7.40,0.00,7.10,Suroeste
46,1172,2024-11-27,Despejado,24.20,7.50,0.00,7.60,Suroeste
47,1172,2024-11-28,Despejado,28.00,10.10,0.00,6.50,Suroeste
48,1172,2024-11-29,Despejado,22.30,9.70,0.00,5.60,Norte
49,1809,2024-11-26,Despejado,23.50,6.40,0.00,7.20,Norte
50,1809,2024-11-27,Despejado,23.90,6.30,0.00,5.10,Noroeste
51,1809,2024-11-28,Despejado,25.60,9.10,0.00,6.20,Norte
52,1809,2024-11-29,Despejado,24.70,8.50,0.00,6.60,Norte
53,845,2024-11-26,Despejado,22.10,8.30,0.00,5.80,Noreste
54,845,2024-11-27,Despejado,24.20,8.20,0.00,2.90,Noroeste
55,845,2024-11-28,Despejado,26.00,11.00,0.00,4.00,Este
56,845,2024-11-29,Despejado,23.80,9.70,0.00,6.10,Noreste
57,2005,2024-11-26,Despejado,23.50,5.70,0.00,7.60,Norte
58,2005,2024-11-27,Despejado,24.40,5.70,0.00,3.00,Norte
