id_municipio,id_estado,nombre_municipio
1,30,Huitzilac
2,2,Tapachula
3,2,Tonalá
4,11,Ziracuaretiro
5,7,Zapopan
6,7,Tamazula de Gordiano
7,9,Ixtepec
8,7,Ahualulco de Mercado
9,19,Tolcayuca
10,9,Zoquitlán
11,7,San Miguel el Alto
12,4,Tampico Alto
13,8,San Pedro Jaltepetongo
14,11,Penjamillo
15,9,San Andrés Cholula
16,2,Chiapilla
17,9,San Felipe Tepatlán
18,30,Ocuituco
19,6,Lerdo
20,9,Chietla
21,7,San Ignacio Cerro Gordo
22,28,Loreto
23,9,Tlanepantla
24,8,San Juan Yucuita
25,7,San Gabriel
26,19,Acaxochitlán
27,10,Tekantó
28,24,San Felipe
29,4,Perote
30,17,Navolato
31,10,Tecoh
32,27,Chalco
33,9,Tianguismanalco
34,8,San Juan Bautista Jayacatlán
35,13,Teolocholco
36,1,Acuña
37,13,Atltzayanca
38,29,Bacerac
39,4,San Juan Evangelista
40,15,La Paz
41,3,Charcas
42,8,Santa Cruz de Bravo
43,22,Tlapehuala
44,10,Izamal
45,29,Hermosillo
46,2,Mazatán
47,11,Cotija
48,8,Santa María la Asunción
49,5,Santa Bárbara
50,8,Cuyamecalco Villa de Zaragoza
51,3,Cerritos
52,13,Santa Cruz Tlaxcala
53,10,Dzán
54,4,Lerdo de Tejada
55,21,Guerrero
56,7,Totatiche
57,8,Santa Ana Yareni
58,2,Socoltenango
59,4,Tamiahua
60,32,Comalcalco
61,32,Tacotalpa
62,31,Rayones
63,7,Talpa de Allende
64,7,Quitupan
65,2,Cacahoatán
66,21,Casas
67,10,Celestún
68,8,Magdalena Apasco
69,4,Actopan
70,11,Tacámbaro
71,11,Carácuaro
72,8,Asunción Cacalotepec
73,24,Romita
74,5,Nonoava
75,31,General Zuazua
76,22,Cocula
77,28,General Pánfilo Natera
78,9,Cuautlancingo
79,32,Cárdenas
80,10,Seyé
81,2,Bella Vista
82,5,Jiménez
83,9,San Diego la Mesa Tochimiltzingo
84,19,Nicolás Flores
85,28,Noria de Ángeles
86,8,San Pedro Topiltepec
87,18,Puerto Morelos
88,1,Nadadores
89,3,Huehuetlán
90,9,San Pedro Yeloixtlahuaca
91,28,Villa González Ortega
92,28,Benito Juárez
93,21,Ciudad Madero
94,8,Santa Marí Yosoyúa
95,7,Villa Hidalgo
96,9,Epatlán
97,7,Ixtlahuacán de los Membrillos
98,29,Cumpas
99,3,Ebano
100,17,Escuinapa
101,29,Nácori Chico
102,8,Santiago Choápam
103,9,Vicente Guerrero
104,9,Chignautla
105,4,Vega de Alatorre
